Air Pollutant Index Api,Selected Stations,Year,Value
Min.,"Cheras, Kuala Lumpur",2016,7
Min.,"Cheras, Kuala Lumpur",2017,0
Min.,"Cheras, Kuala Lumpur",2018,4
Min.,"Cheras, Kuala Lumpur",2019,31
Min.,"Larkin, Johor Bahru",2000,7
Min.,"Larkin, Johor Bahru",2001,10
Min.,"Larkin, Johor Bahru",2002,4
Min.,"Larkin, Johor Bahru",2003,2
Min.,"Larkin, Johor Bahru",2004,8
Min.,"Larkin, Johor Bahru",2005,1
Min.,"Larkin, Johor Bahru",2006,5
Min.,"Larkin, Johor Bahru",2007,0
Min.,"Larkin, Johor Bahru",2008,5
Min.,"Larkin, Johor Bahru",2009,2
Min.,"Larkin, Johor Bahru",2010,15
Min.,"Larkin, Johor Bahru",2011,3
Min.,"Larkin, Johor Bahru",2012,2
Min.,"Larkin, Johor Bahru",2013,17
Min.,"Larkin, Johor Bahru",2014,10
Min.,"Larkin, Johor Bahru",2015,28
Min.,"Larkin, Johor Bahru",2016,5
Min.,"Larkin, Johor Bahru",2017,12
Min.,"Larkin, Johor Bahru",2018,20
Min.,"Larkin, Johor Bahru",2019,26
Min.,"Bandaraya Melaka, Melaka",2000,4
Min.,"Bandaraya Melaka, Melaka",2001,3
Min.,"Bandaraya Melaka, Melaka",2002,5
Min.,"Bandaraya Melaka, Melaka",2003,6
Min.,"Bandaraya Melaka, Melaka",2004,5
Min.,"Bandaraya Melaka, Melaka",2005,2
Min.,"Bandaraya Melaka, Melaka",2006,5
Min.,"Bandaraya Melaka, Melaka",2007,4
Min.,"Bandaraya Melaka, Melaka",2008,3
Min.,"Bandaraya Melaka, Melaka",2009,4
Min.,"Bandaraya Melaka, Melaka",2010,22
Min.,"Bandaraya Melaka, Melaka",2011,12
Min.,"Bandaraya Melaka, Melaka",2012,3
Min.,"Bandaraya Melaka, Melaka",2013,16
Min.,"Bandaraya Melaka, Melaka",2014,5
Min.,"Bandaraya Melaka, Melaka",2015,6
Min.,"Bandaraya Melaka, Melaka",2016,5
Min.,"Bandaraya Melaka, Melaka",2017,0
Min.,"Bandaraya Melaka, Melaka",2018,21
Min.,"Bandaraya Melaka, Melaka",2019,19
Min.,"Seberang Jaya, Pulau Pinang",2000,4
Min.,"Seberang Jaya, Pulau Pinang",2001,8
Min.,"Seberang Jaya, Pulau Pinang",2002,4
Min.,"Seberang Jaya, Pulau Pinang",2003,11
